batch_id,microbatch_id,sequence,target_count,budget_not_kpi,generation_assignment_id,canonical_cluster_refs
batch_001,batch_001_mb_001,1,40,true,GA-001,mkc_019|mkc_026|mkc_027
batch_001,batch_001_mb_002,2,40,true,GA-001,mkc_019|mkc_026|mkc_027
batch_001,batch_001_mb_003,3,20,true,GA-001,mkc_019|mkc_026|mkc_027
batch_002,batch_002_mb_001,1,40,true,GA-002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040
batch_002,batch_002_mb_002,2,40,true,GA-002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040
batch_002,batch_002_mb_003,3,40,true,GA-002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040
batch_002,batch_002_mb_004,4,40,true,GA-002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040
batch_002,batch_002_mb_005,5,40,true,GA-002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040
batch_003,batch_003_mb_001,1,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_002,2,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_003,3,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_004,4,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_005,5,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_006,6,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_003,batch_003_mb_007,7,40,true,GA-003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046
batch_004,batch_004_mb_001,1,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_004,batch_004_mb_002,2,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_004,batch_004_mb_003,3,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_004,batch_004_mb_004,4,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_004,batch_004_mb_005,5,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_004,batch_004_mb_006,6,40,true,GA-004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044
batch_005,batch_005_mb_001,1,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
batch_005,batch_005_mb_002,2,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
batch_005,batch_005_mb_003,3,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
